Medicine ID,Order ID,Name,Description,Batch Number,Order Date,Quantity of Order,Current Stage,Current Stage Location,Days in Current Stage,Expiry Date,Days to Expiry,Retailer Location,Retailer ID,Distributor Location,Distributor ID,Manufacturer Location,Manufacturer ID,Raw Material Supplier Location,RMS ID,Stock at Distributor,Stock Status,Sales Quantity,Sale Date,Order Shortfall,Expiry Risk Score,Turn Over Ratio,Supply Chain Velocity,Stage Transition Time,Time to Critical,Lead Time,Predicted Expiry Waste,Anomaly Score,RMS ID,Manufacturer ID,Distributor ID,Retailer ID
M-1011,O-34944,Pantoprazole,Treats stomach & esophagus problems.,B-1027,2022-09-12,98900,Dis,Hyderabad,3,2023-04-07,-614.0,Jaipur,RET-1,Hyderabad,DIS-1,Hyderabad,MAN-1,Hyderabad,RMS-1,47402,Optimal,0.0,2023-12-22,51498,-77.20195439739413,0.0,466,3,37402,0.0,-60724600.0,51498,RMS-1,MAN-1,DIS-1,RET-1
M-1011,O-41594,Pantoprazole,Treats stomach & esophagus problems.,B-7256,2022-06-28,61600,Dis,Mumbai,19,2023-05-09,-582.0,Chennai,RET-2,Mumbai,DIS-2,Jaipur,MAN-2,Bangalore,RMS-2,48323,Optimal,0.0,2022-10-15,13277,-83.02920962199313,0.0,109,19,38323,0.0,-35851200.0,13277,RMS-2,MAN-2,DIS-2,RET-2
M-1003,O-54041,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-1304,2024-03-21,11180,Ret,Bangalore,6,2026-07-07,573.0,Bangalore,RET-3,Ahmedabad,DIS-3,Hyderabad,MAN-1,Chennai,RMS-3,0,0,2500.0,2024-08-14,11180,0.0,0.22361359570661896,146,6,0,0.0,2562.4559999999997,11180,RMS-3,MAN-1,DIS-3,RET-3
M-1001,O-74734,Amoxicillin,Antibiotic for bacterial infections.,B-7216,2023-01-28,60880,Dis,Lucknow,12,2025-05-26,166.0,Pune,RET-4,Lucknow,DIS-4,Mumbai,MAN-3,Mumbai,RMS-4,5237,Understock,0.0,2023-05-31,55643,31.548192771084338,0.0,123,12,0,0.0,10106080.0,55643,RMS-4,MAN-3,DIS-4,RET-4
M-1009,O-86930,Cefixime,Antibiotic for respiratory and UTI infections.,B-1407,2023-11-14,60550,Man,Lucknow,15,2025-10-11,304.0,Delhi,RET-5,Pune,DIS-5,Lucknow,MAN-4,Pune,RMS-5,0,0,0.0,2023-11-24,60550,0.0,0.0,10,15,0,0.0,18407200.0,60550,RMS-5,MAN-4,DIS-5,RET-5
M-1007,O-32364,Cetirizine,Antihistamine for allergy symptoms.,B-8252,2020-04-11,83550,Dis,Ahmedabad,8,2023-03-29,-623.0,Ahmedabad,RET-6,Ahmedabad,DIS-3,Hyderabad,MAN-1,Hyderabad,RMS-1,32964,Optimal,0.0,2020-11-30,50586,-52.91171749598716,0.0,233,8,22964,0.0,-52051650.0,50586,RMS-1,MAN-1,DIS-3,RET-6
M-1008,O-25302,Dolo 650,Brand of paracetamol for pain & fever.,B-1531,2024-04-26,80420,RMS,Kolkata,229,2025-12-23,0.0,Delhi,RET-5,Delhi,DIS-6,Kolkata,MAN-5,Kolkata,RMS-6,0,0,0.0,2024-05-31,80420,0.0,0.0,35,229,0,0.0,0.0,80420,RMS-6,MAN-5,DIS-6,RET-5
M-1002,O-32318,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-2444,2023-04-02,3880,Ret,Kolkata,22,2025-09-30,293.0,Kolkata,RET-7,Mumbai,DIS-2,Delhi,MAN-6,Hyderabad,RMS-1,0,0,4670.0,2023-12-16,3880,0.0,1.2036082474226804,258,22,0,0.0,243.43468950749465,3880,RMS-1,MAN-6,DIS-2,RET-7
M-1000,O-57303,Paracetamol,Relieves fever & mild to moderate pain.,B-2067,2022-06-20,13170,Dis,Bangalore,13,2023-12-07,-370.0,Mumbai,RET-8,Bangalore,DIS-7,Lucknow,MAN-4,Bangalore,RMS-2,1468,Understock,0.0,2023-03-23,11702,-3.9675675675675675,0.0,276,13,0,0.0,-4872900.0,11702,RMS-2,MAN-4,DIS-7,RET-8
M-1012,O-78062,Levofloxacin,Antibiotic for bacterial infections.,B-3230,2022-10-28,72740,Dis,Mumbai,1,2025-08-01,233.0,Mumbai,RET-8,Mumbai,DIS-2,Chennai,MAN-7,Jaipur,RMS-7,42131,Optimal,0.0,2024-04-26,30609,180.8197424892704,0.0,546,1,32131,0.0,16948420.0,30609,RMS-7,MAN-7,DIS-2,RET-8
M-1002,O-93965,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-4760,2023-09-05,42760,Man,Kolkata,26,2025-07-28,229.0,Hyderabad,RET-9,Bangalore,DIS-7,Kolkata,MAN-5,Bangalore,RMS-2,0,0,0.0,2024-07-06,42760,0.0,0.0,305,26,0,0.0,9792040.0,42760,RMS-2,MAN-5,DIS-7,RET-9
M-1011,O-85743,Pantoprazole,Treats stomach & esophagus problems.,B-2171,2021-01-09,73051,Man,Delhi,3,2023-06-27,-533.0,Hyderabad,RET-9,Delhi,DIS-6,Delhi,MAN-6,Delhi,RMS-8,0,0,0.0,2021-08-25,73051,-0.0,0.0,228,3,0,0.0,-38936183.0,73051,RMS-8,MAN-6,DIS-6,RET-9
M-1002,O-35399,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-7560,2024-03-21,45540,Man,Mumbai,17,2026-01-27,412.0,Mumbai,RET-8,Pune,DIS-5,Mumbai,MAN-3,Chennai,RMS-3,0,0,0.0,2024-04-15,45540,0.0,0.0,25,17,0,0.0,18762480.0,45540,RMS-3,MAN-3,DIS-5,RET-8
M-1013,O-37081,Montelukast,Prevents asthma & seasonal allergies.,B-8783,2022-07-30,47010,Dis,Bangalore,16,2025-01-18,38.0,Delhi,RET-5,Bangalore,DIS-7,Chennai,MAN-7,Mumbai,RMS-4,25463,Understock,0.0,2024-04-11,21547,670.078947368421,0.0,621,16,15463,0.0,1786380.0,21547,RMS-4,MAN-7,DIS-7,RET-5
M-1001,O-24370,Amoxicillin,Antibiotic for bacterial infections.,B-2225,2023-02-15,96820,RMS,Ahmedabad,665,2024-07-08,0.0,Hyderabad,RET-9,Lucknow,DIS-4,Ahmedabad,MAN-8,Ahmedabad,RMS-9,0,0,0.0,2023-05-11,96820,0.0,0.0,85,665,0,0.0,0.0,96820,RMS-9,MAN-8,DIS-4,RET-9
M-1009,O-90025,Cefixime,Antibiotic for respiratory and UTI infections.,B-2418,2021-11-15,54600,RMS,Jaipur,1122,2023-12-16,0.0,Delhi,RET-5,Ahmedabad,DIS-3,Mumbai,MAN-3,Jaipur,RMS-7,0,0,0.0,2024-05-21,54600,0.0,0.0,918,1122,0,0.0,0.0,54600,RMS-7,MAN-3,DIS-3,RET-5
M-1010,O-92168,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-4989,2022-11-16,13500,RMS,Kolkata,756,2023-07-20,0.0,Bangalore,RET-3,Hyderabad,DIS-1,Mumbai,MAN-3,Kolkata,RMS-6,0,0,0.0,2023-02-26,13500,0.0,0.0,102,756,0,0.0,0.0,13500,RMS-6,MAN-3,DIS-1,RET-3
M-1000,O-33775,Paracetamol,Relieves fever & mild to moderate pain.,B-8153,2024-06-04,41700,Dis,Hyderabad,30,2025-01-16,36.0,Pune,RET-4,Hyderabad,DIS-1,Hyderabad,MAN-1,Ahmedabad,RMS-9,23765,Understock,0.0,2024-12-04,17935,660.1388888888889,0.0,183,30,13765,0.0,1501200.0,17935,RMS-9,MAN-1,DIS-1,RET-4
M-1003,O-51686,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-8741,2023-02-18,57390,Ret,Bangalore,13,2024-10-06,-66.0,Bangalore,RET-3,Hyderabad,DIS-1,Lucknow,MAN-4,Hyderabad,RMS-1,0,0,3710.0,2023-07-25,57390,-0.0,0.06464540860777139,157,13,0,0.0,-1020.954177897574,57390,RMS-1,MAN-4,DIS-1,RET-3
M-1013,O-97476,Montelukast,Prevents asthma & seasonal allergies.,B-8584,2023-10-03,68340,Dis,Jaipur,19,2025-12-06,360.0,Ahmedabad,RET-6,Jaipur,DIS-8,Bangalore,MAN-9,Mumbai,RMS-4,33119,Optimal,0.0,2024-11-02,35221,91.99722222222222,0.0,396,19,23119,0.0,24602400.0,35221,RMS-4,MAN-9,DIS-8,RET-6
M-1012,O-31671,Levofloxacin,Antibiotic for bacterial infections.,B-2403,2022-11-18,42620,Man,Hyderabad,10,2025-11-11,335.0,Delhi,RET-5,Lucknow,DIS-4,Hyderabad,MAN-1,Pune,RMS-5,0,0,0.0,2023-05-19,42620,0.0,0.0,182,10,0,0.0,14277700.0,42620,RMS-5,MAN-1,DIS-4,RET-5
M-1013,O-45755,Montelukast,Prevents asthma & seasonal allergies.,B-1359,2024-04-20,115500,RMS,Jaipur,235,2026-05-14,0.0,Kolkata,RET-7,Lucknow,DIS-4,Jaipur,MAN-2,Jaipur,RMS-7,0,0,0.0,2024-08-26,115500,0.0,0.0,128,235,0,0.0,0.0,115500,RMS-7,MAN-2,DIS-4,RET-7
M-1008,O-69038,Dolo 650,Brand of paracetamol for pain & fever.,B-4690,2020-04-12,52720,Man,Kolkata,16,2022-07-28,-867.0,Chennai,RET-2,Ahmedabad,DIS-3,Kolkata,MAN-5,Chennai,RMS-3,0,0,0.0,2024-02-25,52720,-0.0,0.0,1414,16,0,0.0,-45708240.0,52720,RMS-3,MAN-5,DIS-3,RET-2
M-1000,O-46198,Paracetamol,Relieves fever & mild to moderate pain.,B-4630,2020-10-15,63110,Dis,Kolkata,7,2023-02-17,-663.0,Bangalore,RET-3,Kolkata,DIS-9,Pune,MAN-10,Kolkata,RMS-6,15868,Understock,0.0,2021-09-02,47242,-23.933634992458522,0.0,322,7,5868,0.0,-41841930.0,47242,RMS-6,MAN-10,DIS-9,RET-3
M-1012,O-79111,Levofloxacin,Antibiotic for bacterial infections.,B-2710,2023-02-04,97300,Ret,Jaipur,28,2025-02-09,60.0,Jaipur,RET-1,Ahmedabad,DIS-3,Delhi,MAN-6,Ahmedabad,RMS-9,0,0,7880.0,2023-10-26,97300,0.0,0.08098663926002056,264,28,0,0.0,740.8629441624365,97300,RMS-9,MAN-6,DIS-3,RET-1
M-1001,O-39909,Amoxicillin,Antibiotic for bacterial infections.,B-7709,2020-03-25,75680,Dis,Hyderabad,16,2021-01-24,-1417.0,Pune,RET-4,Hyderabad,DIS-1,Delhi,MAN-6,Kolkata,RMS-6,9326,Understock,0.0,2021-08-10,66354,-6.581510232886379,0.0,503,16,0,0.0,-107238560.0,66354,RMS-6,MAN-6,DIS-1,RET-4
M-1011,O-47173,Pantoprazole,Treats stomach & esophagus problems.,B-5627,2020-07-27,20160,Man,Ahmedabad,23,2021-07-15,-1245.0,Kolkata,RET-7,Mumbai,DIS-2,Ahmedabad,MAN-8,Lucknow,RMS-10,0,0,0.0,2022-12-12,20160,-0.0,0.0,868,23,0,0.0,-25099200.0,20160,RMS-10,MAN-8,DIS-2,RET-7
M-1002,O-13236,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-5506,2024-09-08,49970,Ret,Jaipur,15,2026-10-20,678.0,Jaipur,RET-1,Ahmedabad,DIS-3,Kolkata,MAN-5,Bangalore,RMS-2,0,0,3580.0,2024-11-16,49970,0.0,0.07164298579147488,69,15,0,0.0,9463.59217877095,49970,RMS-2,MAN-5,DIS-3,RET-1
M-1004,O-14357,Azithromycin,Antibiotic for bacterial infections.,B-4797,2021-04-09,10620,Man,Hyderabad,14,2022-09-30,-803.0,Hyderabad,RET-9,Pune,DIS-5,Hyderabad,MAN-1,Hyderabad,RMS-1,0,0,0.0,2024-08-16,10620,-0.0,0.0,1225,14,0,0.0,-8527860.0,10620,RMS-1,MAN-1,DIS-5,RET-9
M-1003,O-65425,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-5831,2021-10-17,13970,Man,Delhi,24,2022-12-06,-736.0,Chennai,RET-2,Hyderabad,DIS-1,Delhi,MAN-6,Pune,RMS-5,0,0,0.0,2024-11-20,13970,-0.0,0.0,1130,24,0,0.0,-10281920.0,13970,RMS-5,MAN-6,DIS-1,RET-2
M-1004,O-38509,Azithromycin,Antibiotic for bacterial infections.,B-8707,2024-03-05,2130,Dis,Jaipur,5,2026-03-05,449.0,Jaipur,RET-1,Jaipur,DIS-8,Ahmedabad,MAN-8,Pune,RMS-5,39129,Understock,0.0,2024-05-15,-36999,87.14699331848553,0.0,71,5,29129,0.0,956370.0,36999,RMS-5,MAN-8,DIS-8,RET-1
M-1014,O-87645,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-5529,2023-01-29,33110,Man,Bangalore,23,2024-06-16,-178.0,Ahmedabad,RET-6,Delhi,DIS-6,Bangalore,MAN-9,Bangalore,RMS-2,0,0,0.0,2024-08-10,33110,-0.0,0.0,559,23,0,0.0,-5893580.0,33110,RMS-2,MAN-9,DIS-6,RET-6
M-1006,O-92768,Omeprazole,Treats GERD and other stomach issues.,B-7926,2020-06-03,44630,Ret,Chennai,4,2021-05-29,-1292.0,Chennai,RET-2,Lucknow,DIS-4,Pune,MAN-10,Chennai,RMS-3,0,0,930.0,2024-02-03,44630,-0.0,0.020838001344387184,1340,4,0,0.0,-62002.107526881715,44630,RMS-3,MAN-10,DIS-4,RET-2
M-1001,O-83572,Amoxicillin,Antibiotic for bacterial infections.,B-1233,2023-05-29,77540,RMS,Hyderabad,562,2026-05-12,0.0,Chennai,RET-2,Delhi,DIS-6,Chennai,MAN-7,Hyderabad,RMS-1,0,0,0.0,2023-07-27,77540,0.0,0.0,59,562,0,0.0,0.0,77540,RMS-1,MAN-7,DIS-6,RET-2
M-1000,O-91219,Paracetamol,Relieves fever & mild to moderate pain.,B-8901,2024-01-07,191580,Ret,Delhi,15,2026-08-10,607.0,Delhi,RET-5,Ahmedabad,DIS-3,Pune,MAN-10,Delhi,RMS-8,0,0,8860.0,2024-07-30,191580,0.0,0.0462469986428646,205,15,0,0.0,13125.176072234763,191580,RMS-8,MAN-10,DIS-3,RET-5
M-1005,O-11089,Metformin,Controls blood sugar in type 2 diabetes.,B-5138,2020-04-01,92274,RMS,Pune,1715,2023-02-07,0.0,Delhi,RET-5,Ahmedabad,DIS-3,Hyderabad,MAN-1,Pune,RMS-5,0,0,0.0,2023-05-26,92274,0.0,0.0,1150,1715,0,0.0,0.0,92274,RMS-5,MAN-1,DIS-3,RET-5
M-1012,O-58469,Levofloxacin,Antibiotic for bacterial infections.,B-6853,2021-12-23,114765,Man,Mumbai,30,2024-08-05,-128.0,Jaipur,RET-1,Bangalore,DIS-7,Mumbai,MAN-3,Mumbai,RMS-4,0,0,0.0,2024-10-09,114765,-0.0,0.0,1021,30,0,0.0,-14689920.0,114765,RMS-4,MAN-3,DIS-7,RET-1
M-1012,O-60820,Levofloxacin,Antibiotic for bacterial infections.,B-9401,2023-10-04,46290,RMS,Ahmedabad,434,2025-09-16,0.0,Ahmedabad,RET-6,Delhi,DIS-6,Kolkata,MAN-5,Ahmedabad,RMS-9,0,0,0.0,2024-07-09,46290,0.0,0.0,279,434,0,0.0,0.0,46290,RMS-9,MAN-5,DIS-6,RET-6
M-1004,O-93270,Azithromycin,Antibiotic for bacterial infections.,B-8447,2020-07-11,67350,Dis,Delhi,1,2021-01-31,-1410.0,Bangalore,RET-3,Delhi,DIS-6,Jaipur,MAN-2,Chennai,RMS-3,26537,Understock,0.0,2023-04-05,40813,-18.820567375886526,0.0,998,1,16537,0.0,-94963500.0,40813,RMS-3,MAN-2,DIS-6,RET-3
M-1005,O-53443,Metformin,Controls blood sugar in type 2 diabetes.,B-8682,2024-03-13,91993,Dis,Ahmedabad,9,2024-12-30,19.0,Lucknow,RET-10,Ahmedabad,DIS-3,Bangalore,MAN-9,Ahmedabad,RMS-9,25472,Optimal,0.0,2024-07-22,66521,1340.6315789473683,0.0,131,9,15472,0.0,1747867.0,66521,RMS-9,MAN-9,DIS-3,RET-10
M-1000,O-21150,Paracetamol,Relieves fever & mild to moderate pain.,B-7627,2021-04-16,97300,Ret,Bangalore,9,2024-01-03,-343.0,Bangalore,RET-3,Jaipur,DIS-8,Chennai,MAN-7,Kolkata,RMS-6,0,0,7590.0,2021-12-27,97300,-0.0,0.07800616649537513,255,9,0,0.0,-4397.088274044796,97300,RMS-6,MAN-7,DIS-8,RET-3
M-1012,O-79760,Levofloxacin,Antibiotic for bacterial infections.,B-2281,2019-12-26,137940,Man,Bangalore,11,2022-09-07,-826.0,Ahmedabad,RET-6,Jaipur,DIS-8,Bangalore,MAN-9,Chennai,RMS-3,0,0,0.0,2020-04-03,137940,-0.0,0.0,99,11,0,0.0,-113938440.0,137940,RMS-3,MAN-9,DIS-8,RET-6
M-1012,O-68045,Levofloxacin,Antibiotic for bacterial infections.,B-6220,2024-03-31,92250,Man,Ahmedabad,10,2027-01-10,760.0,Ahmedabad,RET-6,Jaipur,DIS-8,Ahmedabad,MAN-8,Ahmedabad,RMS-9,0,0,0.0,2024-11-25,92250,0.0,0.0,239,10,0,0.0,70110000.0,92250,RMS-9,MAN-8,DIS-8,RET-6
M-1006,O-46866,Omeprazole,Treats GERD and other stomach issues.,B-2589,2023-01-10,19010,Man,Chennai,14,2023-12-03,-374.0,Mumbai,RET-8,Chennai,DIS-10,Chennai,MAN-7,Pune,RMS-5,0,0,0.0,2024-10-16,19010,-0.0,0.0,645,14,0,0.0,-7109740.0,19010,RMS-5,MAN-7,DIS-10,RET-8
M-1007,O-21229,Cetirizine,Antihistamine for allergy symptoms.,B-2360,2022-10-20,77010,Man,Hyderabad,26,2023-09-14,-454.0,Kolkata,RET-7,Bangalore,DIS-7,Hyderabad,MAN-1,Jaipur,RMS-7,0,0,0.0,2024-11-23,77010,-0.0,0.0,765,26,0,0.0,-34962540.0,77010,RMS-7,MAN-1,DIS-7,RET-7
