Medicine ID,Order ID,Name,Description,Batch Number,Order Date,Quantity of Order,Current Stage,Current Stage Location,Days in Current Stage,Expiry Date,Days to Expiry,Retailer Location,Retailer ID,Distributor Location,Distributor ID,Manufacturer Location,Manufacturer ID,Raw Material Supplier Location,RMS ID,Stock at Distributor,Stock Status,Sales Quantity,Sale Date,Order Shortfall,Expiry Risk Score,Turn Over Ratio,Supply Chain Velocity,Stage Transition Time,Time to Critical,Predicted Expiry Waste,Anomaly Score,Lead Time,RMS ID,Manufacturer ID,Distributor ID,Retailer ID
M-1000,O-36543,Paracetamol,Relieves fever & mild to moderate pain.,B-8687,2024-03-18,59890,Ret,Ahmedabad,28,2025-11-24,347.0,Ahmedabad,RET-1,Kolkata,DIS-1,Bangalore,MAN-1,Chennai,RMS-1,0,0,7810.0,2024-04-13,59890,0.0,0.1304057438637502,26,28,0,2660.9257362355957,59890,26,RMS-1,MAN-1,DIS-1,RET-1
M-1010,O-38487,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-9177,2023-10-12,42900,Ret,Bangalore,9,2024-09-21,-82.0,Bangalore,RET-2,Mumbai,DIS-2,Delhi,MAN-2,Jaipur,RMS-2,0,0,2030.0,2024-01-10,42900,-0.0,0.04731934731934732,90,9,0,-1732.9064039408868,42900,90,RMS-2,MAN-2,DIS-2,RET-2
M-1013,O-45805,Montelukast,Prevents asthma & seasonal allergies.,B-3849,2022-09-15,61150,Ret,Hyderabad,16,2023-10-22,-417.0,Hyderabad,RET-3,Lucknow,DIS-3,Pune,MAN-3,Bangalore,RMS-3,0,0,8460.0,2023-11-27,61150,-0.0,0.13834832379394932,438,16,0,-3014.131205673759,61150,438,RMS-3,MAN-3,DIS-3,RET-3
M-1004,O-99847,Azithromycin,Antibiotic for bacterial infections.,B-7574,2020-05-21,50930,Dis,Delhi,29,2021-11-05,-1133.0,Pune,RET-4,Delhi,DIS-4,Delhi,MAN-2,Chennai,RMS-1,48755,Understock,0.0,2021-12-22,2175,-43.031774051191526,0.0,580,29,38755,0.0,2175,580,RMS-1,MAN-2,DIS-4,RET-4
M-1013,O-57228,Montelukast,Prevents asthma & seasonal allergies.,B-9176,2022-10-02,67070,RMS,Hyderabad,802,2023-07-06,0.0,Lucknow,RET-5,Jaipur,DIS-5,Pune,MAN-3,Hyderabad,RMS-4,0,0,0.0,2023-12-20,67070,0.0,0.0,444,802,0,0.0,67070,444,RMS-4,MAN-3,DIS-5,RET-5
M-1014,O-61441,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-7104,2024-09-26,50180,Dis,Kolkata,29,2027-08-27,988.0,Bangalore,RET-2,Kolkata,DIS-1,Jaipur,MAN-4,Lucknow,RMS-5,5058,Understock,0.0,2024-12-05,45122,5.119433198380567,0.0,70,29,0,0.0,45122,70,RMS-5,MAN-4,DIS-1,RET-2
M-1008,O-64985,Dolo 650,Brand of paracetamol for pain & fever.,B-8720,2020-12-02,80340,Dis,Pune,5,2023-08-03,-497.0,Kolkata,RET-6,Pune,DIS-6,Chennai,MAN-5,Jaipur,RMS-2,4424,Understock,0.0,2021-05-23,75916,-8.901408450704226,0.0,172,5,0,0.0,75916,172,RMS-2,MAN-5,DIS-6,RET-6
M-1004,O-78366,Azithromycin,Antibiotic for bacterial infections.,B-8934,2023-03-21,83160,Ret,Lucknow,10,2023-11-07,-401.0,Lucknow,RET-5,Ahmedabad,DIS-7,Delhi,MAN-2,Mumbai,RMS-6,0,0,6410.0,2024-06-23,83160,-0.0,0.07708032708032708,460,10,0,-5202.3650546021845,83160,460,RMS-6,MAN-2,DIS-7,RET-5
M-1002,O-19143,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-3307,2023-10-28,75190,RMS,Lucknow,411,2025-08-22,0.0,Delhi,RET-7,Hyderabad,DIS-8,Hyderabad,MAN-6,Lucknow,RMS-5,0,0,0.0,2024-06-28,75190,0.0,0.0,244,411,0,0.0,75190,244,RMS-5,MAN-6,DIS-8,RET-7
M-1004,O-49718,Azithromycin,Antibiotic for bacterial infections.,B-9999,2023-08-27,54700,Dis,Mumbai,8,2026-04-02,476.0,Bangalore,RET-2,Mumbai,DIS-2,Delhi,MAN-2,Pune,RMS-7,2348,Understock,0.0,2024-06-03,52352,4.932773109243698,0.0,281,8,0,0.0,52352,281,RMS-7,MAN-2,DIS-2,RET-2
M-1014,O-24599,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-3389,2023-06-12,29860,Dis,Jaipur,13,2026-02-13,428.0,Bangalore,RET-2,Jaipur,DIS-5,Ahmedabad,MAN-7,Lucknow,RMS-5,6285,Understock,0.0,2024-07-02,23575,14.684579439252337,0.0,386,13,0,0.0,23575,386,RMS-5,MAN-7,DIS-5,RET-2
M-1014,O-81639,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-4089,2020-09-29,51900,RMS,Hyderabad,1535,2021-06-30,0.0,Chennai,RET-8,Jaipur,DIS-5,Hyderabad,MAN-6,Hyderabad,RMS-4,0,0,0.0,2023-07-22,51900,0.0,0.0,1026,1535,0,0.0,51900,1026,RMS-4,MAN-6,DIS-5,RET-8
M-1003,O-44895,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-3327,2021-04-22,70160,Ret,Mumbai,15,2023-06-21,-540.0,Mumbai,RET-9,Hyderabad,DIS-8,Hyderabad,MAN-6,Mumbai,RMS-6,0,0,8860.0,2022-08-23,70160,-0.0,0.12628278221208666,488,15,0,-4276.117381489842,70160,488,RMS-6,MAN-6,DIS-8,RET-9
M-1004,O-80144,Azithromycin,Antibiotic for bacterial infections.,B-5001,2023-09-12,57270,RMS,Jaipur,457,2024-05-07,0.0,Hyderabad,RET-3,Mumbai,DIS-2,Chennai,MAN-5,Jaipur,RMS-2,0,0,0.0,2024-05-26,57270,0.0,0.0,257,457,0,0.0,57270,257,RMS-2,MAN-5,DIS-2,RET-3
M-1009,O-43895,Cefixime,Antibiotic for respiratory and UTI infections.,B-7947,2023-03-01,75670,Man,Mumbai,15,2024-04-26,-230.0,Pune,RET-4,Hyderabad,DIS-8,Mumbai,MAN-8,Pune,RMS-7,0,0,0.0,2024-10-26,75670,-0.0,0.0,605,15,0,0.0,75670,605,RMS-7,MAN-8,DIS-8,RET-4
M-1010,O-58540,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-1972,2023-12-19,30420,RMS,Chennai,359,2026-07-08,0.0,Delhi,RET-7,Ahmedabad,DIS-7,Ahmedabad,MAN-7,Chennai,RMS-1,0,0,0.0,2024-06-04,30420,0.0,0.0,168,359,0,0.0,30420,168,RMS-1,MAN-7,DIS-7,RET-7
