Medicine ID,Order ID,Name,Description,Batch Number,Order Date,Quantity of Order,Current Stage,Current Stage Location,Days in Current Stage,Expiry Date,Days to Expiry,Retailer Location,Distributor Location,Manufacturer Location,Raw Material Supplier Location,Stock at Distributor,Stock Status,Sales Quantity,Sale Date
M-1000,O-36543,Paracetamol,Relieves fever & mild to moderate pain.,B-8687,2024-03-18,59890,Ret,Ahmedabad,28,2025-11-24,347.0,Ahmedabad,Kolkata,Bangalore,Chennai,0,,7810.0,2024-04-13
M-1010,O-38487,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-9177,2023-10-12,42900,Ret,Bangalore,9,2024-09-21,-82.0,Bangalore,Mumbai,Delhi,Jaipur,0,,2030.0,2024-01-10
M-1013,O-45805,Montelukast,Prevents asthma & seasonal allergies.,B-3849,2022-09-15,61150,Ret,Hyderabad,16,2023-10-22,-417.0,Hyderabad,Lucknow,Pune,Bangalore,0,,8460.0,2023-11-27
M-1004,O-99847,Azithromycin,Antibiotic for bacterial infections.,B-7574,2020-05-21,50930,Dis,Delhi,29,2021-11-05,-1133.0,Pune,Delhi,Delhi,Chennai,48755,Understock,,2021-12-22
M-1013,O-57228,Montelukast,Prevents asthma & seasonal allergies.,B-9176,2022-10-02,67070,RMS,Hyderabad,802,2023-07-06,,Lucknow,Jaipur,Pune,Hyderabad,0,,,2023-12-20
M-1014,O-61441,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-7104,2024-09-26,50180,Dis,Kolkata,29,2027-08-27,988.0,Bangalore,Kolkata,Jaipur,Lucknow,5058,Understock,,2024-12-05
M-1008,O-64985,Dolo 650,Brand of paracetamol for pain & fever.,B-8720,2020-12-02,80340,Dis,Pune,5,2023-08-03,-497.0,Kolkata,Pune,Chennai,Jaipur,4424,Understock,,2021-05-23
M-1004,O-78366,Azithromycin,Antibiotic for bacterial infections.,B-8934,2023-03-21,83160,Ret,Lucknow,10,2023-11-07,-401.0,Lucknow,Ahmedabad,Delhi,Mumbai,0,,6410.0,2024-06-23
M-1002,O-19143,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-3307,2023-10-28,75190,RMS,Lucknow,411,2025-08-22,,Delhi,Hyderabad,Hyderabad,Lucknow,0,,,2024-06-28
M-1004,O-49718,Azithromycin,Antibiotic for bacterial infections.,B-9999,2023-08-27,54700,Dis,Mumbai,8,2026-04-02,476.0,Bangalore,Mumbai,Delhi,Pune,2348,Understock,,2024-06-03
M-1014,O-24599,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-3389,2023-06-12,29860,Dis,Jaipur,13,2026-02-13,428.0,Bangalore,Jaipur,Ahmedabad,Lucknow,6285,Understock,,2024-07-02
M-1014,O-81639,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-4089,2020-09-29,51900,RMS,Hyderabad,1535,2021-06-30,,Chennai,Jaipur,Hyderabad,Hyderabad,0,,,2023-07-22
M-1003,O-44895,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-3327,2021-04-22,70160,Ret,Mumbai,15,2023-06-21,-540.0,Mumbai,Hyderabad,Hyderabad,Mumbai,0,,8860.0,2022-08-23
M-1004,O-80144,Azithromycin,Antibiotic for bacterial infections.,B-5001,2023-09-12,57270,RMS,Jaipur,457,2024-05-07,,Hyderabad,Mumbai,Chennai,Jaipur,0,,,2024-05-26
M-1009,O-43895,Cefixime,Antibiotic for respiratory and UTI infections.,B-7947,2023-03-01,75670,Man,Mumbai,15,2024-04-26,-230.0,Pune,Hyderabad,Mumbai,Pune,0,,,2024-10-26
M-1010,O-58540,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-1972,2023-12-19,30420,RMS,Chennai,359,2026-07-08,,Delhi,Ahmedabad,Ahmedabad,Chennai,0,,,2024-06-04
M-1004,O-57746,Azithromycin,Antibiotic for bacterial infections.,B-8102,2020-08-13,17090,Dis,Chennai,17,2022-09-16,-818.0,Chennai,Chennai,Jaipur,Mumbai,1606,Understock,,2021-11-06
M-1006,O-14861,Omeprazole,Treats GERD and other stomach issues.,B-9117,2021-07-19,55450,Dis,Ahmedabad,27,2023-04-22,-600.0,Delhi,Ahmedabad,Mumbai,Chennai,20412,Understock,,2023-12-28
M-1000,O-54685,Paracetamol,Relieves fever & mild to moderate pain.,B-7439,2021-04-25,73040,Ret,Mumbai,11,2023-08-27,-473.0,Mumbai,Chennai,Ahmedabad,Ahmedabad,0,,8000.0,2023-10-03
M-1002,O-14445,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-7801,2022-01-14,44280,Man,Jaipur,12,2023-11-26,-382.0,Pune,Jaipur,Jaipur,Jaipur,0,,,2023-04-11
M-1006,O-93805,Omeprazole,Treats GERD and other stomach issues.,B-5018,2020-04-15,85090,Dis,Bangalore,14,2021-12-12,-1096.0,Bangalore,Bangalore,Hyderabad,Mumbai,32410,Optimal,,2023-02-04
M-1000,O-35756,Paracetamol,Relieves fever & mild to moderate pain.,B-1695,2021-09-09,48180,Man,Kolkata,8,2022-09-25,-809.0,Jaipur,Hyderabad,Kolkata,Chennai,0,,,2024-06-27
M-1006,O-79843,Omeprazole,Treats GERD and other stomach issues.,B-9864,2021-11-18,10020,RMS,Bangalore,1120,2022-05-24,,Kolkata,Pune,Lucknow,Bangalore,0,,,2022-02-26
M-1007,O-43521,Cetirizine,Antihistamine for allergy symptoms.,B-8976,2020-04-28,4910,RMS,Mumbai,1689,2021-10-05,,Kolkata,Bangalore,Mumbai,Mumbai,0,,,2020-05-09
